dut_data:100, torch_data:99, c:6, w:29, h:4, i+1:10711, err:1.0 
dut_data:96, torch_data:95, c:0, w:30, h:4, i+1:10721, err:1.0 
dut_data:87, torch_data:86, c:14, w:31, h:4, i+1:10751, err:1.0 
dut_data:96, torch_data:95, c:5, w:49, h:4, i+1:11030, err:1.0 
dut_data:83, torch_data:82, c:1, w:52, h:4, i+1:11074, err:1.0 
dut_data:79, torch_data:78, c:4, w:60, h:4, i+1:11205, err:1.0 
dut_data:89, torch_data:88, c:13, w:64, h:4, i+1:11278, err:1.0 
dut_data:91, torch_data:90, c:6, w:69, h:4, i+1:11351, err:1.0 
dut_data:81, torch_data:80, c:13, w:86, h:4, i+1:11630, err:1.0 
dut_data:83, torch_data:82, c:12, w:89, h:4, i+1:11677, err:1.0 
dut_data:79, torch_data:78, c:2, w:92, h:4, i+1:11715, err:1.0 
dut_data:85, torch_data:84, c:0, w:94, h:4, i+1:11745, err:1.0 
dut_data:77, torch_data:76, c:2, w:98, h:4, i+1:11811, err:1.0 
dut_data:81, torch_data:80, c:3, w:100, h:4, i+1:11844, err:1.0 
dut_data:78, torch_data:77, c:7, w:103, h:4, i+1:11896, err:1.0 
dut_data:77, torch_data:76, c:10, w:117, h:4, i+1:12123, err:1.0 
dut_data:79, torch_data:78, c:10, w:118, h:4, i+1:12139, err:1.0 
dut_data:99, torch_data:98, c:0, w:126, h:4, i+1:12257, err:1.0 
dut_data:80, torch_data:79, c:5, w:131, h:4, i+1:12342, err:1.0 
dut_data:87, torch_data:86, c:8, w:131, h:4, i+1:12345, err:1.0 
dut_data:80, torch_data:79, c:13, w:131, h:4, i+1:12350, err:1.0 
dut_data:80, torch_data:79, c:8, w:135, h:4, i+1:12409, err:1.0 
dut_data:82, torch_data:81, c:10, w:140, h:4, i+1:12491, err:1.0 
dut_data:77, torch_data:76, c:3, w:142, h:4, i+1:12516, err:1.0 
dut_data:90, torch_data:89, c:6, w:149, h:4, i+1:12631, err:1.0 
dut_data:87, torch_data:86, c:14, w:153, h:4, i+1:12703, err:1.0 
dut_data:81, torch_data:80, c:15, w:153, h:4, i+1:12704, err:1.0 
dut_data:85, torch_data:84, c:7, w:155, h:4, i+1:12728, err:1.0 
dut_data:89, torch_data:88, c:5, w:1, h:5, i+1:12822, err:1.0 
dut_data:81, torch_data:80, c:11, w:10, h:5, i+1:12972, err:1.0 
dut_data:85, torch_data:84, c:2, w:16, h:5, i+1:13059, err:1.0 
dut_data:80, torch_data:79, c:8, w:16, h:5, i+1:13065, err:1.0 
dut_data:85, torch_data:84, c:10, w:21, h:5, i+1:13147, err:1.0 
dut_data:84, torch_data:83, c:14, w:26, h:5, i+1:13231, err:1.0 
dut_data:78, torch_data:77, c:7, w:27, h:5, i+1:13240, err:1.0 
dut_data:78, torch_data:77, c:3, w:33, h:5, i+1:13332, err:1.0 
dut_data:89, torch_data:88, c:14, w:33, h:5, i+1:13343, err:1.0 
dut_data:77, torch_data:76, c:1, w:34, h:5, i+1:13346, err:1.0 
dut_data:78, torch_data:77, c:13, w:34, h:5, i+1:13358, err:1.0 
dut_data:79, torch_data:78, c:4, w:35, h:5, i+1:13365, err:1.0 
dut_data:89, torch_data:88, c:8, w:35, h:5, i+1:13369, err:1.0 
dut_data:80, torch_data:79, c:13, w:35, h:5, i+1:13374, err:1.0 
dut_data:94, torch_data:93, c:6, w:37, h:5, i+1:13399, err:1.0 
dut_data:85, torch_data:84, c:13, w:47, h:5, i+1:13566, err:1.0 
dut_data:82, torch_data:81, c:14, w:47, h:5, i+1:13567, err:1.0 
dut_data:77, torch_data:76, c:15, w:47, h:5, i+1:13568, err:1.0 
dut_data:89, torch_data:88, c:8, w:51, h:5, i+1:13625, err:1.0 
dut_data:97, torch_data:96, c:13, w:52, h:5, i+1:13646, err:1.0 
dut_data:93, torch_data:92, c:5, w:54, h:5, i+1:13670, err:1.0 
dut_data:80, torch_data:79, c:11, w:56, h:5, i+1:13708, err:1.0 
dut_data:86, torch_data:85, c:5, w:64, h:5, i+1:13830, err:1.0 
dut_data:87, torch_data:86, c:1, w:68, h:5, i+1:13890, err:1.0 
dut_data:85, torch_data:84, c:6, w:70, h:5, i+1:13927, err:1.0 
dut_data:80, torch_data:79, c:12, w:71, h:5, i+1:13949, err:1.0 
dut_data:85, torch_data:84, c:10, w:76, h:5, i+1:14027, err:1.0 
dut_data:83, torch_data:82, c:13, w:79, h:5, i+1:14078, err:1.0 
dut_data:80, torch_data:79, c:13, w:80, h:5, i+1:14094, err:1.0 
dut_data:83, torch_data:82, c:10, w:92, h:5, i+1:14283, err:1.0 
dut_data:84, torch_data:83, c:14, w:95, h:5, i+1:14335, err:1.0 
dut_data:83, torch_data:82, c:4, w:108, h:5, i+1:14533, err:1.0 
dut_data:93, torch_data:92, c:0, w:110, h:5, i+1:14561, err:1.0 
dut_data:83, torch_data:82, c:6, w:115, h:5, i+1:14647, err:1.0 
dut_data:81, torch_data:80, c:4, w:123, h:5, i+1:14773, err:1.0 
dut_data:77, torch_data:76, c:11, w:123, h:5, i+1:14780, err:1.0 
dut_data:100, torch_data:99, c:10, w:128, h:5, i+1:14859, err:1.0 
dut_data:81, torch_data:80, c:6, w:131, h:5, i+1:14903, err:1.0 
dut_data:87, torch_data:86, c:12, w:131, h:5, i+1:14909, err:1.0 
dut_data:80, torch_data:79, c:1, w:139, h:5, i+1:15026, err:1.0 
dut_data:85, torch_data:84, c:6, w:139, h:5, i+1:15031, err:1.0 
dut_data:78, torch_data:77, c:6, w:147, h:5, i+1:15159, err:1.0 
dut_data:85, torch_data:84, c:3, w:148, h:5, i+1:15172, err:1.0 
dut_data:89, torch_data:88, c:8, w:151, h:5, i+1:15225, err:1.0 
dut_data:78, torch_data:77, c:12, w:152, h:5, i+1:15245, err:1.0 
dut_data:80, torch_data:79, c:14, w:159, h:5, i+1:15359, err:1.0 
dut_data:88, torch_data:87, c:8, w:0, h:6, i+1:15369, err:1.0 
dut_data:77, torch_data:76, c:1, w:7, h:6, i+1:15474, err:1.0 
dut_data:77, torch_data:76, c:1, w:12, h:6, i+1:15554, err:1.0 
dut_data:82, torch_data:81, c:4, w:12, h:6, i+1:15557, err:1.0 
dut_data:81, torch_data:80, c:6, w:15, h:6, i+1:15607, err:1.0 
dut_data:78, torch_data:77, c:8, w:23, h:6, i+1:15737, err:1.0 
dut_data:83, torch_data:82, c:12, w:25, h:6, i+1:15773, err:1.0 
dut_data:81, torch_data:80, c:9, w:28, h:6, i+1:15818, err:1.0 
dut_data:81, torch_data:80, c:1, w:34, h:6, i+1:15906, err:1.0 
dut_data:79, torch_data:78, c:10, w:39, h:6, i+1:15995, err:1.0 
dut_data:89, torch_data:88, c:2, w:41, h:6, i+1:16019, err:1.0 
dut_data:84, torch_data:83, c:10, w:53, h:6, i+1:16219, err:1.0 
dut_data:77, torch_data:76, c:1, w:55, h:6, i+1:16242, err:1.0 
dut_data:77, torch_data:76, c:4, w:56, h:6, i+1:16261, err:1.0 
dut_data:81, torch_data:80, c:13, w:67, h:6, i+1:16446, err:1.0 
dut_data:82, torch_data:81, c:9, w:68, h:6, i+1:16458, err:1.0 
dut_data:84, torch_data:83, c:2, w:70, h:6, i+1:16483, err:1.0 
dut_data:86, torch_data:85, c:2, w:73, h:6, i+1:16531, err:1.0 
dut_data:77, torch_data:76, c:6, w:88, h:6, i+1:16775, err:1.0 
dut_data:80, torch_data:79, c:12, w:89, h:6, i+1:16797, err:1.0 
dut_data:79, torch_data:78, c:10, w:90, h:6, i+1:16811, err:1.0 
dut_data:89, torch_data:88, c:14, w:90, h:6, i+1:16815, err:1.0 
dut_data:83, torch_data:82, c:4, w:92, h:6, i+1:16837, err:1.0 
dut_data:85, torch_data:84, c:5, w:94, h:6, i+1:16870, err:1.0 
dut_data:94, torch_data:93, c:7, w:98, h:6, i+1:16936, err:1.0 
dut_data:77, torch_data:76, c:13, w:98, h:6, i+1:16942, err:1.0 
dut_data:80, torch_data:79, c:10, w:101, h:6, i+1:16987, err:1.0 
dut_data:81, torch_data:80, c:0, w:105, h:6, i+1:17041, err:1.0 
dut_data:83, torch_data:82, c:2, w:112, h:6, i+1:17155, err:1.0 
dut_data:77, torch_data:76, c:10, w:116, h:6, i+1:17227, err:1.0 
dut_data:85, torch_data:84, c:9, w:117, h:6, i+1:17242, err:1.0 
dut_data:91, torch_data:90, c:8, w:131, h:6, i+1:17465, err:1.0 
dut_data:80, torch_data:79, c:9, w:132, h:6, i+1:17482, err:1.0 
dut_data:78, torch_data:77, c:15, w:132, h:6, i+1:17488, err:1.0 
dut_data:89, torch_data:88, c:2, w:134, h:6, i+1:17507, err:1.0 
dut_data:81, torch_data:80, c:13, w:143, h:6, i+1:17662, err:1.0 
dut_data:78, torch_data:77, c:15, w:148, h:6, i+1:17744, err:1.0 
dut_data:83, torch_data:82, c:15, w:149, h:6, i+1:17760, err:1.0 
dut_data:81, torch_data:80, c:6, w:150, h:6, i+1:17767, err:1.0 
dut_data:82, torch_data:81, c:7, w:153, h:6, i+1:17816, err:1.0 
dut_data:86, torch_data:85, c:14, w:153, h:6, i+1:17823, err:1.0 
dut_data:80, torch_data:79, c:14, w:154, h:6, i+1:17839, err:1.0 
dut_data:83, torch_data:82, c:0, w:158, h:6, i+1:17889, err:1.0 
dut_data:79, torch_data:78, c:3, w:159, h:6, i+1:17908, err:1.0 
dut_data:81, torch_data:80, c:13, w:159, h:6, i+1:17918, err:1.0 
dut_data:79, torch_data:78, c:2, w:0, h:7, i+1:17923, err:1.0 
dut_data:81, torch_data:80, c:6, w:1, h:7, i+1:17943, err:1.0 
dut_data:86, torch_data:85, c:14, w:1, h:7, i+1:17951, err:1.0 
dut_data:86, torch_data:85, c:8, w:19, h:7, i+1:18233, err:1.0 
dut_data:78, torch_data:77, c:13, w:24, h:7, i+1:18318, err:1.0 
dut_data:85, torch_data:84, c:0, w:28, h:7, i+1:18369, err:1.0 
dut_data:85, torch_data:84, c:7, w:33, h:7, i+1:18456, err:1.0 
dut_data:98, torch_data:97, c:7, w:34, h:7, i+1:18472, err:1.0 
dut_data:79, torch_data:78, c:4, w:40, h:7, i+1:18565, err:1.0 
dut_data:77, torch_data:76, c:5, w:46, h:7, i+1:18662, err:1.0 
dut_data:81, torch_data:80, c:15, w:46, h:7, i+1:18672, err:1.0 
dut_data:77, torch_data:76, c:7, w:49, h:7, i+1:18712, err:1.0 
dut_data:89, torch_data:88, c:11, w:50, h:7, i+1:18732, err:1.0 
dut_data:78, torch_data:77, c:11, w:56, h:7, i+1:18828, err:1.0 
dut_data:82, torch_data:81, c:0, w:57, h:7, i+1:18833, err:1.0 
dut_data:78, torch_data:77, c:6, w:65, h:7, i+1:18967, err:1.0 
dut_data:78, torch_data:77, c:7, w:68, h:7, i+1:19016, err:1.0 
dut_data:78, torch_data:77, c:12, w:71, h:7, i+1:19069, err:1.0 
dut_data:92, torch_data:91, c:6, w:77, h:7, i+1:19159, err:1.0 
dut_data:81, torch_data:80, c:13, w:79, h:7, i+1:19198, err:1.0 
dut_data:82, torch_data:81, c:2, w:80, h:7, i+1:19203, err:1.0 
dut_data:85, torch_data:84, c:1, w:84, h:7, i+1:19266, err:1.0 
dut_data:78, torch_data:77, c:0, w:94, h:7, i+1:19425, err:1.0 
dut_data:83, torch_data:82, c:6, w:97, h:7, i+1:19479, err:1.0 
dut_data:78, torch_data:77, c:11, w:97, h:7, i+1:19484, err:1.0 
dut_data:82, torch_data:81, c:9, w:101, h:7, i+1:19546, err:1.0 
dut_data:93, torch_data:92, c:11, w:115, h:7, i+1:19772, err:1.0 
dut_data:80, torch_data:79, c:1, w:119, h:7, i+1:19826, err:1.0 
dut_data:82, torch_data:81, c:12, w:120, h:7, i+1:19853, err:1.0 
dut_data:99, torch_data:98, c:6, w:125, h:7, i+1:19927, err:1.0 
dut_data:78, torch_data:77, c:2, w:130, h:7, i+1:20003, err:1.0 
dut_data:77, torch_data:76, c:4, w:130, h:7, i+1:20005, err:1.0 
dut_data:78, torch_data:77, c:7, w:130, h:7, i+1:20008, err:1.0 
dut_data:77, torch_data:76, c:13, w:130, h:7, i+1:20014, err:1.0 
dut_data:78, torch_data:77, c:2, w:131, h:7, i+1:20019, err:1.0 
dut_data:86, torch_data:85, c:12, w:131, h:7, i+1:20029, err:1.0 
dut_data:80, torch_data:79, c:10, w:133, h:7, i+1:20059, err:1.0 
dut_data:85, torch_data:84, c:12, w:136, h:7, i+1:20109, err:1.0 
dut_data:92, torch_data:91, c:0, w:142, h:7, i+1:20193, err:1.0 
dut_data:79, torch_data:78, c:1, w:146, h:7, i+1:20258, err:1.0 
dut_data:81, torch_data:80, c:5, w:147, h:7, i+1:20278, err:1.0 
dut_data:83, torch_data:82, c:1, w:148, h:7, i+1:20290, err:1.0 
dut_data:100, torch_data:99, c:13, w:148, h:7, i+1:20302, err:1.0 
dut_data:77, torch_data:76, c:11, w:154, h:7, i+1:20396, err:1.0 
dut_data:81, torch_data:80, c:8, w:3, h:8, i+1:20537, err:1.0 
dut_data:77, torch_data:76, c:4, w:8, h:8, i+1:20613, err:1.0 
dut_data:83, torch_data:82, c:14, w:13, h:8, i+1:20703, err:1.0 
dut_data:83, torch_data:82, c:8, w:16, h:8, i+1:20745, err:1.0 
dut_data:77, torch_data:76, c:14, w:17, h:8, i+1:20767, err:1.0 
dut_data:81, torch_data:80, c:1, w:18, h:8, i+1:20770, err:1.0 
dut_data:93, torch_data:92, c:6, w:21, h:8, i+1:20823, err:1.0 
dut_data:88, torch_data:87, c:15, w:21, h:8, i+1:20832, err:1.0 
dut_data:79, torch_data:78, c:14, w:29, h:8, i+1:20959, err:1.0 
dut_data:80, torch_data:79, c:12, w:33, h:8, i+1:21021, err:1.0 
