dut_data:170, torch_data:171, c:2, w:134, h:3, i+1:9827, err:-1.0 
dut_data:154, torch_data:155, c:12, w:137, h:3, i+1:9885, err:-1.0 
dut_data:154, torch_data:155, c:9, w:139, h:3, i+1:9914, err:-1.0 
dut_data:153, torch_data:154, c:11, w:140, h:3, i+1:9932, err:-1.0 
dut_data:152, torch_data:153, c:13, w:143, h:3, i+1:9982, err:-1.0 
dut_data:154, torch_data:155, c:9, w:144, h:3, i+1:9994, err:-1.0 
dut_data:162, torch_data:163, c:0, w:151, h:3, i+1:10097, err:-1.0 
dut_data:157, torch_data:158, c:14, w:152, h:3, i+1:10127, err:-1.0 
dut_data:160, torch_data:161, c:1, w:155, h:3, i+1:10162, err:-1.0 
dut_data:156, torch_data:157, c:14, w:157, h:3, i+1:10207, err:-1.0 
dut_data:177, torch_data:178, c:6, w:3, h:4, i+1:10295, err:-1.0 
dut_data:155, torch_data:156, c:15, w:4, h:4, i+1:10320, err:-1.0 
dut_data:166, torch_data:167, c:2, w:9, h:4, i+1:10387, err:-1.0 
dut_data:172, torch_data:173, c:14, w:10, h:4, i+1:10415, err:-1.0 
dut_data:169, torch_data:170, c:9, w:12, h:4, i+1:10442, err:-1.0 
dut_data:195, torch_data:196, c:4, w:16, h:4, i+1:10501, err:-1.0 
dut_data:157, torch_data:158, c:2, w:18, h:4, i+1:10531, err:-1.0 
dut_data:172, torch_data:173, c:7, w:18, h:4, i+1:10536, err:-1.0 
dut_data:154, torch_data:155, c:13, w:18, h:4, i+1:10542, err:-1.0 
dut_data:188, torch_data:189, c:6, w:19, h:4, i+1:10551, err:-1.0 
dut_data:167, torch_data:168, c:1, w:20, h:4, i+1:10562, err:-1.0 
dut_data:154, torch_data:155, c:4, w:27, h:4, i+1:10677, err:-1.0 
dut_data:177, torch_data:178, c:7, w:34, h:4, i+1:10792, err:-1.0 
dut_data:169, torch_data:170, c:1, w:36, h:4, i+1:10818, err:-1.0 
dut_data:209, torch_data:210, c:13, w:36, h:4, i+1:10830, err:-1.0 
dut_data:160, torch_data:161, c:8, w:39, h:4, i+1:10873, err:-1.0 
dut_data:157, torch_data:158, c:9, w:42, h:4, i+1:10922, err:-1.0 
dut_data:159, torch_data:160, c:14, w:53, h:4, i+1:11103, err:-1.0 
dut_data:160, torch_data:161, c:4, w:56, h:4, i+1:11141, err:-1.0 
dut_data:169, torch_data:170, c:9, w:58, h:4, i+1:11178, err:-1.0 
dut_data:170, torch_data:171, c:3, w:66, h:4, i+1:11300, err:-1.0 
dut_data:183, torch_data:184, c:13, w:68, h:4, i+1:11342, err:-1.0 
dut_data:159, torch_data:160, c:8, w:71, h:4, i+1:11385, err:-1.0 
dut_data:156, torch_data:157, c:5, w:73, h:4, i+1:11414, err:-1.0 
dut_data:175, torch_data:176, c:7, w:91, h:4, i+1:11704, err:-1.0 
dut_data:166, torch_data:167, c:4, w:96, h:4, i+1:11781, err:-1.0 
dut_data:180, torch_data:181, c:8, w:96, h:4, i+1:11785, err:-1.0 
dut_data:166, torch_data:167, c:9, w:100, h:4, i+1:11850, err:-1.0 
dut_data:152, torch_data:153, c:11, w:104, h:4, i+1:11916, err:-1.0 
dut_data:167, torch_data:168, c:10, w:107, h:4, i+1:11963, err:-1.0 
dut_data:153, torch_data:154, c:14, w:118, h:4, i+1:12143, err:-1.0 
dut_data:161, torch_data:162, c:11, w:120, h:4, i+1:12172, err:-1.0 
dut_data:160, torch_data:161, c:13, w:120, h:4, i+1:12174, err:-1.0 
dut_data:163, torch_data:164, c:7, w:121, h:4, i+1:12184, err:-1.0 
dut_data:172, torch_data:173, c:14, w:123, h:4, i+1:12223, err:-1.0 
dut_data:170, torch_data:171, c:14, w:127, h:4, i+1:12287, err:-1.0 
dut_data:161, torch_data:162, c:11, w:130, h:4, i+1:12332, err:-1.0 
dut_data:160, torch_data:161, c:0, w:131, h:4, i+1:12337, err:-1.0 
dut_data:164, torch_data:165, c:4, w:152, h:4, i+1:12677, err:-1.0 
dut_data:157, torch_data:158, c:15, w:153, h:4, i+1:12704, err:-1.0 
dut_data:160, torch_data:161, c:2, w:156, h:4, i+1:12739, err:-1.0 
