dut_data:77, torch_data:76, c:10, w:117, h:17, i+1:45403, err:1.0 
dut_data:86, torch_data:85, c:9, w:123, h:17, i+1:45498, err:1.0 
dut_data:78, torch_data:77, c:3, w:130, h:17, i+1:45604, err:1.0 
dut_data:81, torch_data:80, c:12, w:135, h:17, i+1:45693, err:1.0 
dut_data:95, torch_data:94, c:5, w:142, h:17, i+1:45798, err:1.0 
dut_data:85, torch_data:84, c:6, w:147, h:17, i+1:45879, err:1.0 
dut_data:86, torch_data:85, c:2, w:157, h:17, i+1:46035, err:1.0 
dut_data:97, torch_data:96, c:6, w:159, h:17, i+1:46071, err:1.0 
dut_data:83, torch_data:82, c:4, w:5, h:18, i+1:46165, err:1.0 
dut_data:88, torch_data:87, c:9, w:13, h:18, i+1:46298, err:1.0 
dut_data:81, torch_data:80, c:14, w:23, h:18, i+1:46463, err:1.0 
dut_data:93, torch_data:92, c:8, w:29, h:18, i+1:46553, err:1.0 
dut_data:95, torch_data:94, c:10, w:39, h:18, i+1:46715, err:1.0 
dut_data:84, torch_data:83, c:2, w:44, h:18, i+1:46787, err:1.0 
dut_data:90, torch_data:89, c:0, w:57, h:18, i+1:46993, err:1.0 
dut_data:83, torch_data:82, c:14, w:78, h:18, i+1:47343, err:1.0 
dut_data:83, torch_data:82, c:15, w:98, h:18, i+1:47664, err:1.0 
dut_data:81, torch_data:80, c:0, w:108, h:18, i+1:47809, err:1.0 
dut_data:89, torch_data:88, c:6, w:119, h:18, i+1:47991, err:1.0 
dut_data:90, torch_data:89, c:10, w:119, h:18, i+1:47995, err:1.0 
dut_data:77, torch_data:76, c:10, w:129, h:18, i+1:48155, err:1.0 
dut_data:87, torch_data:86, c:3, w:130, h:18, i+1:48164, err:1.0 
dut_data:99, torch_data:98, c:8, w:141, h:18, i+1:48345, err:1.0 
dut_data:81, torch_data:80, c:0, w:142, h:18, i+1:48353, err:1.0 
dut_data:89, torch_data:88, c:7, w:156, h:18, i+1:48584, err:1.0 
dut_data:90, torch_data:89, c:3, w:5, h:19, i+1:48724, err:1.0 
dut_data:81, torch_data:80, c:15, w:10, h:19, i+1:48816, err:1.0 
dut_data:82, torch_data:81, c:2, w:25, h:19, i+1:49043, err:1.0 
dut_data:92, torch_data:91, c:8, w:38, h:19, i+1:49257, err:1.0 
dut_data:82, torch_data:81, c:10, w:42, h:19, i+1:49323, err:1.0 
dut_data:88, torch_data:87, c:11, w:61, h:19, i+1:49628, err:1.0 
dut_data:87, torch_data:86, c:10, w:71, h:19, i+1:49787, err:1.0 
dut_data:78, torch_data:77, c:15, w:77, h:19, i+1:49888, err:1.0 
dut_data:89, torch_data:88, c:11, w:82, h:19, i+1:49964, err:1.0 
dut_data:78, torch_data:77, c:12, w:86, h:19, i+1:50029, err:1.0 
dut_data:89, torch_data:88, c:12, w:87, h:19, i+1:50045, err:1.0 
dut_data:83, torch_data:82, c:14, w:93, h:19, i+1:50143, err:1.0 
dut_data:87, torch_data:86, c:3, w:100, h:19, i+1:50244, err:1.0 
dut_data:83, torch_data:82, c:4, w:108, h:19, i+1:50373, err:1.0 
dut_data:79, torch_data:78, c:3, w:117, h:19, i+1:50516, err:1.0 
dut_data:86, torch_data:87, c:13, w:132, h:19, i+1:50766, err:-1.0 
dut_data:88, torch_data:87, c:15, w:138, h:19, i+1:50864, err:1.0 
dut_data:92, torch_data:91, c:2, w:141, h:19, i+1:50899, err:1.0 
dut_data:89, torch_data:88, c:11, w:13, h:20, i+1:51420, err:1.0 
dut_data:84, torch_data:83, c:3, w:21, h:20, i+1:51540, err:1.0 
dut_data:82, torch_data:81, c:4, w:21, h:20, i+1:51541, err:1.0 
dut_data:84, torch_data:83, c:3, w:26, h:20, i+1:51620, err:1.0 
dut_data:86, torch_data:85, c:7, w:60, h:20, i+1:52168, err:1.0 
dut_data:79, torch_data:78, c:14, w:68, h:20, i+1:52303, err:1.0 
dut_data:92, torch_data:91, c:10, w:73, h:20, i+1:52379, err:1.0 
dut_data:79, torch_data:78, c:2, w:81, h:20, i+1:52499, err:1.0 
dut_data:92, torch_data:91, c:10, w:87, h:20, i+1:52603, err:1.0 
dut_data:106, torch_data:105, c:12, w:94, h:20, i+1:52717, err:1.0 
dut_data:82, torch_data:81, c:10, w:113, h:20, i+1:53019, err:1.0 
dut_data:91, torch_data:90, c:2, w:114, h:20, i+1:53027, err:1.0 
dut_data:107, torch_data:106, c:6, w:119, h:20, i+1:53111, err:1.0 
dut_data:86, torch_data:85, c:8, w:120, h:20, i+1:53129, err:1.0 
dut_data:93, torch_data:92, c:1, w:121, h:20, i+1:53138, err:1.0 
dut_data:95, torch_data:94, c:6, w:133, h:20, i+1:53335, err:1.0 
dut_data:80, torch_data:79, c:2, w:140, h:20, i+1:53443, err:1.0 
dut_data:83, torch_data:82, c:0, w:144, h:20, i+1:53505, err:1.0 
dut_data:77, torch_data:76, c:3, w:149, h:20, i+1:53588, err:1.0 
dut_data:84, torch_data:83, c:12, w:158, h:20, i+1:53741, err:1.0 
dut_data:86, torch_data:85, c:10, w:23, h:21, i+1:54139, err:1.0 
